          1; 0x0253d33b; 1; 0xa; 0xa; 37; 63; 26
          2; 0x0253ab99; 1; 0xd; 0xa; 37; 75; 38
          3; 0x02539a50; 1; 0x9; 0xa; 37; 87; 50
          4; 0x0253c2ae; 1; 0xf; 0xa; 37; 99; 62
          5; 0x0253b5cd; 1; 0xa; 0xa; 47; 107; 60
          6; 0x0253dba1; 1; 0x1; 0xa; 37; 115; 78
          7; 0x02539254; 1; 0x2; 0xa; 37; 123; 86
          8; 0x02535015; 1; 0xb; 0xa; 37; 131; 94
          9; 0x02536656; 1; 0xa; 0xa; 77; 139; 62
         10; 0x0253012f; 1; 0x9; 0xa; 41; 147; 106
         11; 0x02537e5c; 1; 0xd; 0xa; 47; 155; 108
         12; 0x0253b047; 1; 0xe; 0xa; 37; 163; 126
         13; 0x0253a49a; 1; 0xa; 0xa; 81; 171; 90
         14; 0x02538f93; 1; 0x8; 0xa; 37; 179; 142
         15; 0x0253160a; 1; 0xe; 0xa; 69; 187; 118
         16; 0x0253c7f5; 1; 0x3; 0xa; 37; 195; 158
         17; 0x0253d7cd; 1; 0x7; 0xa; 37; 207; 170
         18; 0x02535c04; 1; 0x5; 0xa; 39; 215; 176
         19; 0x0253ac12; 1; 0xc; 0xa; 37; 223; 186
         20; 0x0253c1ee; 1; 0x9; 0xa; 81; 235; 154
         21; 0x0253417d; 1; 0xe; 0xa; 73; 243; 170
         22; 0x02539999; 1; 0x3; 0xa; 55; 251; 196
         23; 0x0253b89c; 1; 0x9; 0xa; 93; 263; 170
         24; 0x025354ba; 1; 0x1; 0xa; 43; 271; 228
         25; 0x0253de5d; 1; 0xc; 0xa; 77; 279; 202
         26; 0x0253d547; 1; 0x5; 0xa; 37; 291; 254
         27; 0x02530df3; 1; 0xd; 0xa; 53; 299; 246
         28; 0x0253ec65; 1; 0x3; 0xa; 83; 307; 224
         29; 0x0253b872; 1; 0x1; 0xa; 83; 319; 236
         30; 0x025319f0; 1; 0x5; 0xa; 71; 327; 256
         31; 0x0253ffa6; 1; 0x3; 0xa; 97; 335; 238
         32; 0x0253f0af; 1; 0x6; 0xa; 37; 347; 310
         33; 0x0253262a; 1; 0x2; 0xa; 75; 355; 280
         34; 0x02538086; 1; 0x5; 0xa; 67; 371; 304
         35; 0x02534fb2; 1; 0x5; 0xa; 93; 379; 286
         36; 0x0253dd54; 1; 0x7; 0xa; 91; 395; 304
         37; 0x0253a5e7; 1; 0x2; 0xa; 87; 403; 316
         38; 0x0253a90b; 1; 0x6; 0xa; 75; 419; 344
         39; 0x02533665; 1; 0xc; 0xa; 101; 427; 326
         40; 0x02539c7d; 1; 0x4; 0xa; 37; 443; 406
         41; 0x02533d83; 1; 0x4; 0xa; 101; 451; 350
         42; 0x0253a4ef; 1; 0x7; 0xa; 129; 467; 338
         43; 0x0253728d; 1; 0x3; 0xa; 119; 475; 356
         44; 0x02538a41; 1; 0x4; 0xa; 73; 491; 418
         45; 0x02530b7b; 1; 0x7; 0xa; 169; 511; 342
         46; 0x02538f3a; 1; 0x7; 0xa; 181; 531; 350
         47; 0x0253617c; 1; 0x7; 0xa; 185; 551; 366
